1014	精神的外傷(トラウマ)	1997-04-04	http://www.getchu.com/soft.phtml?id=614925&gc=gc
331	しゃぶり姫 ～陰の章～	1997-04-05	http://www.getchu.com/soft.phtml?id=337&gc=gc
14552	ルームメイト	1997-04-11	http://www.getchu.com/soft.phtml?id=304&gc=gc
739	みさとちゃんの夢日記	1997-04-11	http://www.getchu.com/soft.phtml?id=905&gc=gc
6660	亜紀子	1997-04-11	http://www.getchu.com/soft.phtml?id=666484&gc=gc
1573	みあ	1997-04-18	http://www.getchu.com/soft.phtml?id=306&gc=gc
2320	学園性白書	1997-04-18	http://www.getchu.com/soft.phtml?id=305&gc=gc
221	狂拳伝説CRAZY KNUCKLE	1997-04-25	http://www.getchu.com/soft.phtml?id=6&gc=gc
3750	ZEST to fantasy	1997-04-25	http://www.getchu.com/soft.phtml?id=406&gc=gc
598	晴れのちときどき胸さわぎ	1997-04-25	http://www.getchu.com/soft.phtml?id=307&gc=gc
8561	淫欲の迷宮	1997-05-16	http://www.getchu.com/soft.phtml?id=310&gc=gc
475	ToHeart	1997-05-23	http://www.getchu.com/soft.phtml?id=25887&gc=gc
961	復讐	1997-05-23	http://www.getchu.com/soft.phtml?id=311&gc=gc
471	同棲	1997-05-23	http://www.getchu.com/soft.phtml?id=2775&gc=gc
920	妖女乱舞2	1997-05-29	http://www.getchu.com/soft.phtml?id=14358&gc=gc
1241	遺作 (Win)	1997-05-30	http://www.getchu.com/soft.phtml?id=314&gc=gc
2323	発情生	1997-06-12	http://www.getchu.com/soft.phtml?id=319&gc=gc
425	超らぶ2じゃん	1997-06-13	http://www.getchu.com/soft.phtml?id=321&gc=gc
682	放課後マニア倶楽部 ～濃いの欲しいの～	1997-06-13	http://www.getchu.com/soft.phtml?id=320&gc=gc
4	愛が見えはじめたら	1997-06-27	http://www.getchu.com/soft.phtml?id=122281&gc=gc
5800	White Diamond	1997-06-27	http://www.getchu.com/soft.phtml?id=104221&gc=gc
14553	なお	1997-07-01	http://www.getchu.com/soft.phtml?id=686634&gc=gc
1997	続妖獣戦記 -砂塵の黙示録-	1997-07-11	http://www.getchu.com/soft.phtml?id=326&gc=gc
163	カオスQUEEN遼子 STORY#1 二宮美依編	1997-07-11	http://www.getchu.com/soft.phtml?id=6731&gc=gc
1034	花の記憶 ～第三章～	1997-07-18	http://www.getchu.com/soft.phtml?id=330&gc=gc
16259	For You	1997-07-25	http://www.getchu.com/soft.phtml?id=728767&gc=gc
133	お兄ちゃんへ	1997-07-25	http://www.getchu.com/soft.phtml?id=2772&gc=gc
537	バーチャコール3	1997-07-25	http://www.getchu.com/soft.phtml?id=14469&gc=gc
8432	みお&みほ	1997-07-31	http://www.getchu.com/soft.phtml?id=722495&gc=gc
421	誓いのESSENCE	1997-07-31	http://www.getchu.com/soft.phtml?id=1008&gc=gc
503	な・い・しょ	1997-08-23	http://www.getchu.com/soft.phtml?id=14386&gc=gc
466	同級生2 (Win)	1997-08-29	http://www.getchu.com/soft.phtml?id=334&gc=gc
162	かえるにょ・ぱにょ～ん	1997-08-29	http://www.getchu.com/soft.phtml?id=2761&gc=gc
4183	revEnge 青き血族の復讐 	1997-08-30	http://www.getchu.com/soft.phtml?id=335&gc=gc
66	淫内感染	1997-09-05	http://www.getchu.com/soft.phtml?id=3&gc=gc
9764	悪霊学園レイコ	1997-09-05	http://www.getchu.com/soft.phtml?id=22390&gc=gc
982	ハートの破片(かけら)	1997-09-12	http://www.getchu.com/soft.phtml?id=338&gc=gc
3601	ブランマーカー Twin	1997-09-12	http://www.getchu.com/soft.phtml?id=340&gc=gc
1319	黒山羊 ～仔羊たちへ捧げる小夜曲～	1997-09-26	http://www.getchu.com/soft.phtml?id=342&gc=gc
1038	CD Girls －歌姫達の恋物語－	1997-09-26	http://www.getchu.com/soft.phtml?id=341&gc=gc
8052	無人島物語X ～外伝～	1997-09-26	http://www.getchu.com/soft.phtml?id=343&gc=gc
6658	さや／すみれ	1997-10-03	http://www.getchu.com/soft.phtml?id=344&gc=gc
164	カオスQUEEN遼子 STORY#2 杉浦夏澄編	1997-10-09	http://www.getchu.com/soft.phtml?id=6732&gc=gc
1398	DOOP(ドォープ)	1997-10-09	http://www.getchu.com/soft.phtml?id=348&gc=gc
